isin,s_date,close,p_price,r_price,p_rate,r_rate,predict,correct,error
007070,2023-07-07,21900,21894,21700.0,-0.03,-0.91,0,1,0.89
007110,2023-07-07,1273,1275,1305.0,0.16,2.51,0,0,2.3
007120,2023-07-07,1668,1687,1641.0,1.14,-1.62,0,1,2.8
007160,2023-07-07,39200,39188,39200.0,-0.03,0.0,0,1,0.03
007210,2023-07-07,2170,2175,2215.0,0.23,2.07,0,0,1.81
007280,2023-07-07,1992,1995,1999.0,0.15,0.35,0,0,0.2
007310,2023-07-07,378000,377674,378000.0,-0.09,0.0,0,1,0.09
007340,2023-07-07,95100,95046,98300.0,-0.06,3.36,0,0,3.31
007460,2023-07-07,1129,1135,1119.0,0.53,-0.89,0,1,1.43
007540,2023-07-07,56600,56581,56500.0,-0.03,-0.18,0,1,0.14
007570,2023-07-07,16490,16490,16590.0,0.0,0.61,0,0,0.6
007575,2023-07-07,17300,17297,16770.0,-0.02,-3.06,0,1,3.14
007590,2023-07-07,6800,6810,6760.0,0.15,-0.59,0,1,0.74
007610,2023-07-07,3000,2987,3000.0,-0.43,0.0,0,1,0.43
007660,2023-07-07,29400,29383,28000.0,-0.06,-4.76,0,1,4.94
007690,2023-07-07,50900,50880,50900.0,-0.04,0.0,0,1,0.04
007700,2023-07-07,19060,19037,18700.0,-0.12,-1.89,0,1,1.8
007810,2023-07-07,16410,16385,16120.0,-0.15,-1.77,0,1,1.64
007815,2023-07-07,6240,6243,6090.0,0.05,-2.4,0,1,2.51
00781K,2023-07-07,7370,7365,7350.0,-0.07,-0.27,0,1,0.2
007860,2023-07-07,9510,9505,9530.0,-0.05,0.21,0,0,0.26
007980,2023-07-07,1703,1700,1735.0,-0.18,1.88,0,0,2.02
008040,2023-07-07,1022,1030,1026.0,0.78,0.39,0,0,0.39
008060,2023-07-07,6500,6517,6450.0,0.26,-0.77,0,1,1.04
00806K,2023-07-07,9310,9317,9190.0,0.08,-1.29,0,1,1.38
008110,2023-07-07,5230,5252,5240.0,0.42,0.19,0,0,0.23
008250,2023-07-07,7650,7654,7640.0,0.05,-0.13,0,1,0.18
